 Guatemala,126.8,120.6,113.8,104.2,93.2,90.7 hhhh,88.2 hhhh,85.7 hhhh,83.2 hhhh,80.7 hhh
 Guinea,181.3,180.3,174.4,165.3,155.4,152.4 hhhh,149.5 hhhh,146.5 hhhh,143.6 hhhh,140.6 hhh
 Guinea-Bissau,132.1,138.3,134.4,127.3,122.3,115.8 hhhh,109.2 hhhh,102.6 hhhh,96.0 hhhh,89.5 hhh
 Guyana,94.6,99.1,94.5,100.2,94.1,92.9 hhhh,91.6 hhhh,90.4 hhhh,89.2 hhhh,88.0 hhh
 Haiti,78.3,69.9,61.8,52.5,46.4,45.0 hhhh,43.6 hhhh,42.1 hhhh,40.7 hhhh,39.3 hhh
 Honduras,133.5,126.5,115.8,100,84.1,80.2 hhhh,76.4 hhhh,72.6 hhhh,68.8 hhhh,65.0 hhh
" Hong Kong, China (SAR)",6,7,5,3.8,3.1,3.1 hhhh,3.1 hhhh,3.1 hhhh,3.2 hhhh,3.2 hhh
 Hungary,46.6,36.5,25.6,21,19.6,19.3 hhhh,18.9 hhhh,18.6 hhhh,18.3 hhhh,18.0 hhh
 Iceland,30.9,25.5,23.5,17.2,14.3,12.7 hhhh,11.0 hhhh,9.4 hhhh,7.7 hhhh,6.1 hhh
 India,106,94,76.8,60.2,44.6,40.6 hhhh,36.5 hhhh,32.5 hhhh,28.5 hhhh,24.5 hhh
 Indonesia,72.9,63.1,47.8,51,51.5,51.1 hhhh,50.8 hhhh,50.4 hhhh,50.0 hhhh,49.6 hhh
 Iran (Islamic Republic of),111.4,75.4,48.6,33.5,31.1,30.2 hhhh,29.3 hhhh,28.5 hhhh,27.6 hhhh,26.7 hhh
 Iraq,75.1,67.5,64.8,66,80,80.8 hhhh,81.6 hhhh,82.4 hhhh,83.2 hhhh,84.0 hhh
 Ireland,15,16,19,19,16.3,15.1 hhhh,13.9 hhhh,12.8 hhhh,11.6 hhhh,10.4 hhh
 Israel,21.9,19.3,17.7,16.1,14,13.1 hhhh,12.3 hhhh,11.4 hhhh,10.5 hhhh,9.7 hhh
 Italy,10,7.7,6.4,7,6.9,6.7 hhhh,6.5 hhhh,6.4 hhhh,6.2 hhhh,6.0 hhh
 Jamaica,112.8,103.4,94.5,82.4,73.5,70.7 hhhh,67.9 hhhh,65.2 hhhh,62.4 hhhh,59.7 hhh
 Japan,4,4,4.4,5.8,5.1,4.9 hhhh,4.7 hhhh,4.5 hhhh,4.3 hhhh,4.1 hhh
 Jordan,56.8,49,40.6,33.1,28,27.0 hhhh,26.1 hhhh,25.1 hhhh,24.2 hhhh,23.2 hhh
 Kazakhstan,46.2,53.7,42.1,29.1,28.1,28.0 hhhh,28.0 hhhh,28.0 hhhh,27.9 hhhh,27.9 hhh
 Kenya,147.8,113.5,105.7,104.2,100.2,98.4 hhhh,96.5 hhhh,94.6 hhhh,92.7 hhhh,90.9 hhh
 Kiribati,49.3,45.9,41.6,33.5,27.2,25.2 hhhh,23.2 hhhh,21.2 hhhh,19.2 hhhh,17.2 hhh
 Korea (Democratic People's Rep. of),3.2,1.8,1.2,1,0.6,0.6 hhhh,0.6 hhhh,0.6 hhhh,0.6 hhhh,0.5 hhh
 Korea (Republic of),6.5,4.2,3,2.2,2.1,2.0 hhhh,1.9 hhhh,1.8 hhhh,1.7 hhhh,1.6 hhh
 Kuwait,32.2,21.4,26.3,19.7,14.2,13.3 hhhh,12.4 hhhh,11.6 hhhh,10.7 hhhh,9.8 hhh
 Kyrgyzstan,49.9,68.3,63.1,34.4,29.8,31.7 hhhh,33.7 hhhh,35.7 hhhh,37.6 hhhh,39.6 hhh
 Lao People's Democratic Republic,110,104.9,86.6,75.2,74.7,72.6 hhhh,70.5 hhhh,68.4 hhhh,66.2 hhhh,64.1 hhh
 Latvia,44.9,43.5,21.9,17.3,18.2,17.3 hhhh,16.3 hhhh,15.4 hhhh,14.5 hhhh,13.6 hhh
 Lebanon,51,39,28.3,19.3,12.5,12.5 hhhh,12.5 hhhh,12.4 hhhh,12.4 hhhh,12.4 hhh
